Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
826,Manicured,NE,707F,124.7173446,ISEA3H,25,422.9319505,298.2146059,239.112376
420,Roads/Raillines,NE,707A,124.7572526,ISEA3H,25,422.9326196,298.1753669,239.0044352
750,Building/Paved,NE,707D,125.4227266,ISEA3H,25,906.2837013,780.8609747,622.5833195
153,Building/Paved,NE,801H,125.9236755,ISEA3H,25,543.7703868,417.8467114,331.8253773
855,Manicured,NE,707G,126.1943225,ISEA3H,25,422.9320937,296.7377712,235.1435194
566,Manicured,NW,801E,126.7047016,ISEA3H,25,422.932067,296.2273654,233.793507
283,Manicured,NE,801G,126.8412374,ISEA3H,25,483.3509514,356.509714,281.0676727
489,Building/Paved,NW,801E,126.8693094,ISEA3H,25,362.5134237,235.6441143,185.7376819
1032,Manicured,NE,707D,127.0887435,ISEA3H,25,483.3512893,356.2625458,280.325807
297,Manicured,NE,707E,128.3399202,ISEA3H,25,422.9326457,294.5927255,229.5409916
544,Manicured,NW,801J,130.4442512,ISEA3H,25,845.8640163,715.4197651,548.4486733
114,Building/Paved,NE,707C,131.9100257,ISEA3H,25,362.513438,230.6034123,174.8187153
789,Forest,NE,707H,132.3585656,ISEA3H,25,845.8639144,713.5053488,539.0700221
772,Building/Paved,NE,707H,132.4100579,ISEA3H,25,422.9320222,290.5219643,219.4107977
942,Manicured,NE,707D,132.6445144,ISEA3H,25,543.7702457,411.1257314,309.9455211
775,Building/Paved,NE,707H,132.8092384,ISEA3H,25,422.9321145,290.1228761,218.4508244
615,Manicured,NW,801J,133.0420315,ISEA3H,25,725.0266295,591.984598,444.9605823
1079,Roads/Raillines,NE,707H,133.0743909,ISEA3H,25,543.7696477,410.6952569,308.6208053
824,Manicured,NE,707F,133.7435946,ISEA3H,25,362.5131005,228.769506,171.0508131
740,Building/Paved,NE,707H,134.0422018,ISEA3H,25,604.1890215,470.1468197,350.7453723
31,Building/Paved,NE,801F,134.221817,ISEA3H,25,302.0944059,167.8725889,125.071015
996,Manicured,NE,707H,134.8465225,ISEA3H,25,483.3507498,348.5042273,258.4450981
808,Manicured,NE,707I,134.8552044,ISEA3H,25,362.5130487,227.6578444,168.8165061
771,Building/Paved,NE,707H,134.9952998,ISEA3H,25,422.9320175,287.9367177,213.2938837
955,Manicured,NE,707D,137.0334779,ISEA3H,25,483.3514368,346.3179589,252.7250743
825,Manicured,NE,707I,137.7949109,ISEA3H,25,362.5131067,224.7181959,163.0816366
466,Building/Paved,NW,801E,138.3570417,ISEA3H,25,422.9320725,284.5750308,205.6816388
69,Building/Paved,NE,801F,138.3758686,ISEA3H,25,483.3511083,344.9752397,249.3030347
511,Building/Paved,NW,801B,138.5091303,ISEA3H,25,362.5134729,224.0043426,161.7253261
900,Manicured,NE,707H,140.5029123,ISEA3H,25,604.1889692,463.6860569,330.0188226
981,Manicured,NE,707D,142.2483941,ISEA3H,25,543.7704145,401.5220203,282.2682272
161,Building/Paved,NE,707C,142.253703,ISEA3H,25,422.9325486,280.6788456,197.3086392
263,Manicured,NE,801F,142.6980592,ISEA3H,25,725.0267228,582.3286636,408.0845015
226,Forest,NE,707A,142.891298,ISEA3H,25,483.3518082,340.4605103,238.2653913
575,Manicured,NW,801E,144.6720063,ISEA3H,25,664.6075639,519.9355576,359.3891941
351,Manicured,NE,801B,145.256842,ISEA3H,25,604.1892601,458.9324181,315.9454741
619,Manicured,NW,801B,145.5475788,ISEA3H,25,1450.053718,1304.50614,896.2747101
452,Building/Paved,NW,801E,145.7953788,ISEA3H,25,664.6074436,518.8120647,355.8494576
549,Manicured,NW,801J,147.4968023,ISEA3H,25,785.4451745,637.9483722,432.5167477
185,Building/Paved,NE,707A,147.5333203,ISEA3H,25,543.7706932,396.2373729,268.5748359
235,Manicured,NE,707C,147.6713275,ISEA3H,25,543.7698328,396.0985053,268.2297992
661,Roads/Raillines,NW,801E,148.7340937,ISEA3H,25,483.351104,334.6170102,224.9766694
926,Manicured,NE,707D,149.7592132,ISEA3H,25,483.3512313,333.5920181,222.7522507
551,Manicured,NW,801E,150.7927533,ISEA3H,25,845.8641245,695.0713712,460.9448107
816,Manicured,NE,707I,150.9949264,ISEA3H,25,483.350773,332.3558466,220.1106054
391,Manicured,NE,707A,152.2843327,ISEA3H,25,604.189797,451.9054643,296.7511209
